claim_id,policy_id,worker_id,event_id,city,zone_id,claim_date,week_number,trigger_type,rainfall_mm,aqi_value,temperature,curfew_imposed,disrupted_hours,gps_in_affected_zone,gps_spoof_detected,delivery_activity_detected,duplicate_claim,eligibility_passed,new_registration_fraud,abnormal_claim_freq,fraud_risk_score,is_fraud_ground_truth,claim_status,payout_amount,processing_time_mins,n_platforms_verified,weekly_earnings_avg,premium_paid
C0000077,P0000903,W000061,E000948,Kolkata,Z0085,2024-03-18,12,Curfew,0.0,179.0,20.0,True,22,True,False,False,False,True,False,False,0.0703,False,Auto_Approved,645.47,4.4,3,3872.79,160.37
C0000078,P0000935,W000062,E000639,Hyderabad,Z0060,2024-04-08,15,Rain,75.7,64.9,31.8,False,5,True,False,False,False,True,False,False,0.0292,False,Auto_Approved,428.17,11.6,2,4110.41,151.82
C0000079,P0000949,W000062,E000653,Hyderabad,Z0060,2024-07-15,29,Rain,69.0,67.3,30.5,False,3,True,False,False,False,True,False,False,0.0682,False,Auto_Approved,256.9,11.5,2,4110.41,200.0
C0000080,P0000959,W000066,E000157,Delhi,Z0024,2024-01-01,1,AQI,0.0,433.2,19.0,False,11,True,False,True,False,True,False,False,0.1866,True,Auto_Approved,383.37,2.3,2,2300.21,92.93
C0000081,P0000960,W000066,E000158,Delhi,Z0024,2024-01-08,2,AQI,0.0,688.0,15.4,False,4,True,False,False,False,True,False,False,0.0157,False,Auto_Approved,383.37,8.1,2,2300.21,98.7
C0000082,P0000962,W000066,E000160,Delhi,Z0024,2024-01-22,4,AQI,0.0,500.5,19.9,False,10,True,False,False,False,True,False,False,0.0438,False,Auto_Approved,383.37,5.7,2,2300.21,99.64
C0000083,P0000964,W000066,E000162,Delhi,Z0024,2024-02-05,6,AQI,0.0,414.8,24.7,False,10,True,False,False,False,True,False,False,0.0693,False,Auto_Approved,383.37,6.9,2,2300.21,100.46
C0000084,P0000966,W000066,E000164,Delhi,Z0024,2024-02-19,8,AQI,0.0,516.2,21.8,False,10,True,False,False,False,True,False,False,0.0113,False,Auto_Approved,383.37,9.1,2,2300.21,97.7
C0000085,P0000967,W000066,E000165,Delhi,Z0024,2024-02-26,9,AQI,0.0,486.0,25.8,False,10,False,True,True,False,True,False,False,0.8547,True,Flagged_Manual_Review,0.0,5.7,2,2300.21,99.57
C0000086,P0000969,W000066,E000167,Delhi,Z0024,2024-03-11,11,Rain|Flood,75.5,163.4,24.8,False,8,True,False,False,False,True,False,False,0.0537,False,Auto_Approved,383.37,10.4,2,2300.21,75.01
C0000087,P0000971,W000067,E000002,Chennai,Z0010,2024-01-08,2,Rain,114.5,154.6,18.6,False,4,True,False,False,False,True,False,False,0.0507,False,Auto_Approved,400.09,8.1,1,4441.01,184.2
C0000088,P0000986,W000068,E000157,Delhi,Z0013,2024-01-01,1,AQI,0.0,433.2,19.0,False,11,True,False,False,False,True,False,False,0.0576,False,Auto_Approved,973.22,8.0,1,4866.1,200.0
C0000089,P0000996,W000068,E000167,Delhi,Z0013,2024-03-11,11,Rain|Flood,75.5,163.4,24.8,False,8,True,False,False,False,True,False,False,0.0458,False,Auto_Approved,874.8,10.4,1,4866.1,200.0
C0000090,P0000998,W000069,E000002,Chennai,Z0002,2024-01-08,2,Rain,114.5,154.6,18.6,False,4,True,False,False,False,True,False,False,0.0115,False,Auto_Approved,282.49,11.2,2,5720.37,200.0
C0000091,P0001041,W000073,E000318,Mumbai,Z0037,2024-02-05,6,Curfew,0.0,256.9,25.0,True,6,True,False,False,False,True,False,False,0.0679,False,Auto_Approved,257.14,10.4,1,1285.71,59.89
C0000092,P0001059,W000073,E000336,Mumbai,Z0037,2024-06-10,24,Rain,155.3,131.0,31.8,False,7,True,False,False,False,True,False,False,0.0377,False,Auto_Approved,257.14,11.5,1,1285.71,86.85
C0000093,P0001061,W000073,E000338,Mumbai,Z0037,2024-06-24,26,Rain|Flood,66.1,177.3,31.7,False,4,True,False,False,False,True,False,False,0.0733,True,Auto_Approved,257.14,4.4,1,1285.71,86.43
C0000094,P0001081,W000075,E000159,Delhi,Z0025,2024-01-15,3,AQI,0.0,447.5,22.5,False,9,True,False,False,False,True,False,False,0.0154,False,Auto_Approved,957.63,8.9,3,5745.78,200.0
C0000095,P0001082,W000075,E000160,Delhi,Z0025,2024-01-22,4,AQI,0.0,500.5,19.9,False,10,True,False,False,False,True,False,False,0.0278,False,Auto_Approved,957.63,9.8,3,5745.78,200.0
C0000096,P0001083,W000075,E000161,Delhi,Z0025,2024-01-29,5,AQI,0.0,451.5,23.1,False,10,True,False,False,False,True,False,False,0.0525,False,Auto_Approved,957.63,8.2,3,5745.78,200.0
C0000097,P0001084,W000075,E000162,Delhi,Z0025,2024-02-05,6,AQI,0.0,414.8,24.7,False,10,True,False,False,False,True,False,False,0.0352,False,Auto_Approved,957.63,10.6,3,5745.78,200.0
C0000098,P0001095,W000078,E000002,Chennai,Z0007,2024-01-08,2,Rain,114.5,154.6,18.6,False,4,True,False,False,False,True,False,False,0.0702,False,Auto_Approved,346.17,10.0,3,3219.4,124.09
C0000099,P0001112,W000078,E000019,Chennai,Z0007,2024-05-06,19,Rain|Flood,73.7,92.6,33.0,False,7,True,False,False,False,True,False,False,0.0331,False,Auto_Approved,605.8,10.5,3,3219.4,124.78
C0000100,P0001130,W000079,E000157,Delhi,Z0021,2024-01-01,1,AQI,0.0,433.2,19.0,False,11,False,True,False,True,True,False,False,0.7041,True,Auto_Approved,1301.61,3.1,2,7632.18,200.0
C0000101,P0001131,W000079,E000158,Delhi,Z0021,2024-01-08,2,AQI,0.0,688.0,15.4,False,4,True,False,False,False,True,False,False,0.0419,False,Auto_Approved,473.31,11.8,2,7632.18,200.0
C0000102,P0001138,W000083,E000002,Chennai,Z0011,2024-01-08,2,Rain,114.5,154.6,18.6,False,4,True,False,False,False,True,False,False,0.0222,False,Auto_Approved,332.19,11.8,1,1993.15,88.25
C0000103,P0001202,W000088,E000938,Kolkata,Z0080,2024-01-08,2,Rain|Flood,137.9,332.4,24.4,False,6,True,False,False,False,True,False,False,0.0566,False,Auto_Approved,402.61,11.6,2,1610.42,63.66
C0000104,P0001212,W000088,E000948,Kolkata,Z0080,2024-03-18,12,Curfew,0.0,179.0,20.0,True,22,True,False,False,False,True,False,False,0.0422,False,Auto_Approved,402.61,12.0,2,1610.42,57.49
C0000105,P0001217,W000088,E000953,Kolkata,Z0080,2024-04-22,17,Curfew,38.8,128.3,25.5,True,19,True,False,False,False,True,False,False,0.0795,False,Auto_Approved,402.61,3.7,2,1610.42,59.09
C0000106,P0001232,W000088,E000968,Kolkata,Z0080,2024-08-05,32,Rain,88.0,156.8,33.5,False,6,True,False,False,False,True,False,False,0.019,False,Auto_Approved,402.61,11.9,2,1610.42,85.05
C0000107,P0001236,W000088,E000972,Kolkata,Z0080,2024-09-02,36,Rain|Flood,111.9,156.3,26.8,False,7,False,False,False,True,True,False,False,0.8118,True,Flagged_Manual_Review,0.0,6.1,2,1610.42,86.11
C0000108,P0001250,W000090,E000318,Mumbai,Z0034,2024-02-05,6,Curfew,0.0,256.9,25.0,True,6,True,False,False,False,True,False,False,0.0543,False,Auto_Approved,443.27,7.4,1,2807.36,122.72
C0000109,P0001254,W000091,E000002,Chennai,Z0009,2024-01-08,2,Rain,114.5,154.6,18.6,False,4,True,False,False,False,True,False,True,0.194,False,Auto_Approved,289.54,5.3,3,4053.51,158.51
C0000110,P0001274,W000094,E000938,Kolkata,Z0086,2024-01-08,2,Rain|Flood,137.9,332.4,24.4,False,6,True,False,False,False,True,False,False,0.0172,False,Auto_Approved,484.98,8.5,3,3475.66,154.46
C0000111,P0001278,W000095,E000158,Delhi,Z0018,2024-01-08,2,AQI,0.0,688.0,15.4,False,4,True,False,False,False,True,False,False,0.0701,False,Auto_Approved,338.85,4.6,1,3862.86,175.55
C0000112,P0001279,W000095,E000159,Delhi,Z0018,2024-01-15,3,AQI,0.0,447.5,22.5,False,9,True,False,False,False,True,False,False,0.012,False,Auto_Approved,643.81,2.5,1,3862.86,168.35
C0000113,P0001280,W000095,E000160,Delhi,Z0018,2024-01-22,4,AQI,0.0,500.5,19.9,False,10,True,False,False,False,True,False,False,0.073,False,Auto_Approved,643.81,3.0,1,3862.86,166.32
C0000114,P0001281,W000095,E000161,Delhi,Z0018,2024-01-29,5,AQI,0.0,451.5,23.1,False,10,True,False,False,False,True,False,False,0.051,False,Auto_Approved,643.81,4.8,1,3862.86,178.34
C0000115,P0001284,W000096,E000158,Delhi,Z0014,2024-01-08,2,AQI,0.0,688.0,15.4,False,4,True,False,False,False,True,False,False,0.0042,False,Auto_Approved,305.64,8.9,2,2941.77,119.76
C0000116,P0001291,W000098,E000157,Delhi,Z0027,2024-01-01,1,AQI,0.0,433.2,19.0,False,11,True,False,False,False,True,False,False,0.0283,False,Auto_Approved,585.8,7.8,1,4100.57,200.0
C0000117,P0001293,W000098,E000159,Delhi,Z0027,2024-01-15,3,AQI,0.0,447.5,22.5,False,9,True,False,False,False,True,False,False,0.0341,False,Auto_Approved,585.8,7.6,1,4100.57,200.0
C0000118,P0001296,W000098,E000162,Delhi,Z0027,2024-02-05,6,AQI,0.0,414.8,24.7,False,10,True,False,False,False,True,False,False,0.0224,False,Auto_Approved,585.8,6.1,1,4100.57,200.0
C0000119,P0001298,W000098,E000164,Delhi,Z0027,2024-02-19,8,AQI,0.0,516.2,21.8,False,10,True,False,True,True,True,False,False,0.7103,True,Auto_Approved,585.8,5.2,1,4100.57,198.29
C0000120,P0001299,W000098,E000165,Delhi,Z0027,2024-02-26,9,AQI,0.0,486.0,25.8,False,10,True,False,False,False,True,False,False,0.0728,False,Auto_Approved,585.8,3.6,1,4100.57,200.0
C0000121,P0001306,W000098,E000172,Delhi,Z0027,2024-04-15,16,AQI,0.0,416.5,30.3,False,6,True,False,False,False,True,False,False,0.0782,False,Auto_Approved,488.16,10.6,1,4100.57,170.92
C0000122,P0001308,W000098,E000174,Delhi,Z0027,2024-04-29,18,AQI,0.0,401.6,29.1,False,8,True,False,False,False,True,False,False,0.0451,False,Auto_Approved,585.8,3.6,1,4100.57,169.59
C0000123,P0001321,W000098,E000187,Delhi,Z0027,2024-07-29,31,Rain|Flood,71.0,231.9,31.9,False,7,True,False,False,False,True,False,False,0.0078,False,Auto_Approved,569.52,3.6,1,4100.57,200.0
C0000124,P0001328,W000098,E000194,Delhi,Z0027,2024-09-16,38,Rain|Flood,73.2,153.4,29.1,False,5,True,False,False,False,True,False,False,0.0723,False,Auto_Approved,406.8,10.8,1,4100.57,200.0
C0000125,P0001332,W000098,E000198,Delhi,Z0027,2024-10-14,42,Rain,86.7,172.0,26.2,False,7,True,False,False,False,True,False,False,0.0351,False,Auto_Approved,569.52,5.4,1,4100.57,200.0
C0000126,P0001335,W000098,E000201,Delhi,Z0027,2024-11-04,45,Curfew,0.0,388.1,24.5,True,22,True,False,False,False,True,False,False,0.0518,False,Auto_Approved,585.8,7.7,1,4100.57,200.0
C0000127,P0001336,W000098,E000202,Delhi,Z0027,2024-11-11,46,AQI,0.0,476.2,23.7,False,7,True,False,False,False,True,False,False,0.0572,False,Auto_Approved,569.52,10.0,1,4100.57,198.12
